Date,Agency,Category,Information
7. October 2024,Swissmedic,Deadline,swissdamed: Deadline on 13 November 2024
7. October 2024,Swissmedic,Guidance,Summary report on authorisation
7. October 2024,Swissmedic,Guidance,Transfer of marketing authorisation
7. October 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding product standards for unapproved therapeutic vapes in Australia
7. October 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Guidance supporting updated MDSO instrument
7. October 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Special Access Scheme (SAS): Accessing unapproved therapeutic goods
7. October 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Product standards: unapproved therapeutic vapes
7. October 2024,"Therapeutic Goods Administration (TGA), Australia",Updates,Updates to the Prescribing Medicines in Pregnancy database - September 2024
7. October 2024,Ministry of Health Türkiye,Guidance,"Sale, Advertising, and Promotion of Medical Devices"
7. October 2024,USA Food & Drug Administration FDA,Guidance,Dental Impression Materials –Criteria for Safety & Performance
7. October 2024,USA Food & Drug Administration FDA,Guidance,Dental Ceramics – Criteria for Safety & Performance
7. October 2024,USA Food & Drug Administration FDA,Guidance,Dental Cements - Criteria for Safety & Performance
7. October 2024,USA Food & Drug Administration FDA,Guidance,Air Powered Dental Handpieces & Motors Criteria for Safety & Performance
7. October 2024,USA Food & Drug Administration FDA,Guidance,Studies to Evaluate Residues of Veterinary Drugs in Human Food
7. October 2024,USA Food & Drug Administration FDA,Report,CDER’s Office of Medical Policy 2023 Annual Report
7. October 2024,USA Food & Drug Administration FDA,Report,GDUFA Outcomes Support Development and Evaluation of Generic Drugs
7. October 2024,USA Food & Drug Administration FDA,Guidance,"Q&A Electronic Systems, Records, and Signatures in Clinical Investigations"
7. October 2024,USA Food & Drug Administration FDA,Guidance,Total Product Life Cycle Advisory Program (TAP) Engagement Tips
7. October 2024,USA Food & Drug Administration FDA,Updated,Total Product Life Cycle Advisory Program (TAP)
7. October 2024,USA Food & Drug Administration FDA,Snapshot,Clinical Pharmacology Considerations - Radiolabeled Mass Balance Studies
7. October 2024,World Health Organisation WHO,Report,Responsible use of the life sciences and dual-use research
7. October 2024,World Health Organisation WHO,Guidance,Guidance for best practices for clinical trials
30. September 2024,ANVISA Brazil,Regulation,"925 Manufacture, marketing, import, of customized medical devices"
30. September 2024,ANVISA Brazil,Regulation,909 Registration of products in development or technology transfer
30. September 2024,"East Africa Regulatory Affairs Association (EARAPA) NDA, Uganda",Circular,Fast-track Assessment of Variations (Ammendments) & CTD Dossier Applications.
30. September 2024,Egyptian Drug Authority,Update,Technical Committee for Drug Control on 8/8/2024 on biopharmaceuticals
30. September 2024,Egyptian Drug Authority,Announcement,Important announcement for importers of dental implants
30. September 2024,Egyptian Drug Authority,Guidance,Release of Biological Preparations
30. September 2024,Egyptian Drug Authority,Guidance,"Non-commercial samples of medical, laborator, diagnostic supplies & devices"
30. September 2024,Egyptian Drug Authority,Tool,EDA API Searching Tool
30. September 2024,European Commission,Guidance,Validity of clinical studies for joint clinical assessments
30. September 2024,European Commission,Guidance,MDCG 2021-4 rev.1 - transitional provisions class D IVDR
30. September 2024,European Medicines Agency,Guidance,Guide to information on human medicines evaluated by EMA
30. September 2024,European Medicines Agency,Guidance,QRD statements-metered dose inhalers containing fluorinated greenhouse gases
30. September 2024,European Medicines Agency,Newsflash,CTIS newsflash – 24. September 2024
30. September 2024,European Medicines Agency,Guidance,Compilation of Union procedures on inspections and exchange of information
30. September 2024,European Medicines Agency,Guidance,Important medical event terms list (MedDRA version 27.1)
30. September 2024,European Medicines Agency,Guidance,List of eligible industry stakeholder organisations
30. September 2024,European Medicines Agency,Guidance,Advice on substances essential for the treatment of equine species
30. September 2024,"Health Sciences Authority (HSA), Singapore",Guidance,Specification Package v1.0 for Electronic Common Technical Document (eCTD)
30. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,AI Airlock: the regulatory sandbox for AIaMD
30. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations guidance
30. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Access New Active Substance and Biosimilar Work Sharing Initiatives
30. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Apply to release a vaccine or a blood product to market
30. September 2024,Medical Dictionary for Regulatory Activities,Guidance,MedDRA Latest Versions and Support Documentation
30. September 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Guideline for Akkermansia muciniphila strain ATCC BAA-835
30. September 2024,USA Food & Drug Administration FDA,Guidance,The Accreditation Scheme for Conformity Assessment (ASCA) Program
30. September 2024,USA Food & Drug Administration FDA,Guidance,Biocompatibility Testing of Medical Devices –(ASCA) Program
30. September 2024,USA Food & Drug Administration FDA,Guidance,Safety and Essential Performance of Medical Electrical Equipment (ASCA)
30. September 2024,USA Food & Drug Administration FDA,Report,FDA Information Technology Strategy for Fiscal Years 2024 to 2027
30. September 2024,USA Food & Drug Administration FDA,Guidance,Circular of Information for the Use of Human Blood and Blood Components
30. September 2024,USA Food & Drug Administration FDA,Guidance,FDA Digital Health and Artificial Intelligence Glossary
30. September 2024,USA Food & Drug Administration FDA,Proposed Rule,"Reclassification Antigen, Antibody, & Nucleic Acid-Based Hepatitis B Assays"
30. September 2024,USA Food & Drug Administration FDA,Guidance,Radiation Control Regulations For Manufacturers of Diagnostic X-Ray Equipment
30. September 2024,USA Food & Drug Administration FDA,Guidance,Clinical Pharmacology Considerations for Radiolabeled Mass Balance Studies
23. September 2024,Drug Regulatory Authority of Pakistan,Guidance,Guidelines on National Pharmacovigilance System (Edition 03)
23. September 2024,Egyptian Drug Authority,Guidance,Good Control Practices for Clinical Research
23. September 2024,European Commission,Corrigendum,Horizontal Cybersecurity Requirements for Products with Digital Elements
23. September 2024,European Medicines Agency,Notice,European Medicines Agency’s RMS Data Protection Notice
23. September 2024,European Medicines Agency,Guidance,Environmental risk assessment of medicinal products for human use
23. September 2024,European Medicines Agency,Report,Early dialogue with healthcare professional organisations for marketing authorisation
23. September 2024,European Medicines Agency,Guidance,"How to create, submit and manage IRIS applications"
23. September 2024,European Medicines Agency,Meeting,"Clinical Trials Regulation (CTR) Collaborate Stakeholder meeting, ACT EU"
23. September 2024,European Medicines Agency,Guidance,Guidance for competent authorities on how to highlight VNRAs
23. September 2024,European Medicines Agency,Paper,Efficacy based on single arm trials submitted as evidence for marketing authorisation
23. September 2024,European Medicines Agency,Guidance,Pharmaceutical Risk Assessment Committee criteria to prioritise impact research
23. September 2024,European Medicines Agency,Survey,SME Survey 2024
23. September 2024,European Medicines Agency,Guidance,Q&A labelling requirements for centrally authorised metered dose inhalers
23. September 2024,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use (CHMP) 16-19 September 2024
23. September 2024,European Medicines Agency,Guidance,CTIS Evaluation Timelines
23. September 2024,European Union Agency for Cybersecurity (ENISA),Report,ENISA Threat Landscape 2024
23. September 2024,"Health Sciences Authority (HSA), Singapore",Consultatiion,"""SHARE"": Your one stop digital portal for Class 2 CTGTP Registration"
23. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Wholesalers & manufacturers guidance - Windsor Framework
23. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Established medicines: marketing authorisation application changes
23. September 2024,Medicines and Healthcare products Regulatory Agency,Policy,MHRA Strategy for Improving Safety Communications
23. September 2024,"Team Notified Body, Europe",Guidance,Team-NB Code of Conduct for Notified Bodies V5
23. September 2024,Swissmedic,News,New implementing regulations for submitting Clinical Research Applications
23. September 2024,Swissmedic,Guidance,Request to review devices that comply with the old legislation
23. September 2024,Swissmedic,Guidance,Go-live of the SwissGMDP database
23. September 2024,Swissmedic,Form,Gesuch Verzicht Betriebsbewilligung Arzneimittel (inkl. Blut) / TpP/GT/GVO)
23. September 2024,USA Food & Drug Administration FDA,News,FDA Authorizes First Over-the-Counter Hearing Aid Software
23. September 2024,USA Food & Drug Administration FDA,Guidance,Clinical Evidence from Oncology Multiregional Clinical Development Programs
23. September 2024,USA Food & Drug Administration FDA,Guidance,Study Data Technical Conformance Guide - Technical Specifications Document
23. September 2024,USA Food & Drug Administration FDA,Guidanec,Data Standards Catalog
23. September 2024,USA Food & Drug Administration FDA,Guidance,"Chemistry, Manufacturing, & Controls (CMC) Technical Section Filing Strategies"
23. September 2024,USA Food & Drug Administration FDA,Guidance,Conducting Clinical Trials With Decentralized Elements
23. September 2024,USA Food & Drug Administration FDA,Guidance,Randomized Controlled Trials for Drug and Biological Products
23. September 2024,USA Food & Drug Administration FDA,Database,"Approved Drug Products with Therapeutic Equivalence Evaluations, Orange Book"
23. September 2024,USA Food & Drug Administration FDA,Guidance,Chemical Analysis for Biocompatibility Assessment of Medical Devices
16. September 2024,ANVISA Brazil,Regulation,"RESOLUTION RDC NO. 903, Procedures for the transfer of ownership"
16. September 2024,CDSCO India,Guidance,Draft Guidelines on Good Clinical Practice
16. September 2024,European Commission,Guidance,Data Act Explained
16. September 2024,European Commission,Report,The future of European Competitiveness
16. September 2024,European Commission,Update,Notified Body Update MDR & IVDR
16. September 2024,European Medicines Agency,Meetiing,Pharmacovigilance Risk Assessment Committee (PRAC) 2-5 September 2024
16. September 2024,European Medicines Agency,Guidance,"Clinical development, medicinal products. treatment & prevention bipolar disorder"
16. September 2024,European Medicines Agency,Guidance,Info session on web-based electronic Application Form (eAF) add package
16. September 2024,European Medicines Agency,Newsflash,CTIS newsflash – 10 September 2024
16. September 2024,European Medicines Agency,Guidance,Biological and chemical threats
16. September 2024,European Medicines Agency,Guidance,Q&A regarding co-processed excipients used in solid oral dosage forms
16. September 2024,ISO (International Organization for Standardization),Standard,"ISO Update August 1, 2024 to August 31, 2024"
16. September 2024,International Medical Device Regulators Forum,Report,IMDRF Document Implementation Report
16. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines Pipeline data
16. September 2024,Medicines and Healthcare products Regulatory Agency,Consultation,MHRA consultation on statutory fees
16. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Early Access to Medicines Scheme - Information for Applicants
16. September 2024,South African Health Products Regulatory Authority,Form,Medical Device Manufacture Licence
16. September 2024,South African Health Products Regulatory Authority,Guidance,Renewal of Human and Veterinary Medicines Requirements and Process
16. September 2024,"Team Notified Body, Europe",Position Paper,Transfer Agreement for Surveillance of Legacy Devices IVD
16. September 2024,"Team Notified Body, Europe",Position Paper,Team-NB Position Paper list (update September 11th 2024))
16. September 2024,Swissmedic,Directory,List Countries with recognised GMP control systems
16. September 2024,Swissmedic,Guidance,Electronic exchange of ICSRs in E2B(R3) format through B2B gateway
16. September 2024,Swissmedic,Form,Meldung unerwünschter Tierarzneimittelwirkungen Synthetika oder Impfstoffe
16. September 2024,Swissmedic,Form,Schengen Certificate
16. September 2024,USA Food & Drug Administration FDA,Guidance,Withdrawn Guidances (Biologics)
16. September 2024,USA Food & Drug Administration FDA,Guidance,Appeal Options to Mammography Facilities  Adverse Accreditation Decisions
16. September 2024,USA Food & Drug Administration FDA,Guidance,Amendments to Abbreviated New Drug Applications ANDA Under GDUFA
16. September 2024,USA Food & Drug Administration FDA,Guidance,Providing Regulatory Submissions in Electronic Format (eCTD)
16. September 2024,USA Food & Drug Administration FDA,Guidance,Formal Meetings and Requests for Feedback for CBER-Regulated Products
16. September 2024,USA Food & Drug Administration FDA,Final Rule,Mammography Quality Standards Act (MQSA)
16. September 2024,USA Food & Drug Administration FDA,Classification,Medical Devices; Immunology and Microbiology Devices; Exome Sequencing
16. September 2024,USA Food & Drug Administration FDA,Standard,Three additional standards to advance innovation in sterilization processes
16. September 2024,World Health Organisation WHO,Guidance,Implementation toolkit for accessible telehealth services
9. September 2024,Egyptian Drug Authority,Guidance,Time limit granted to bulletins in which Safety Update occurs
9. September 2024,Egyptian Drug Authority,Guidance,Requirements for variable files submitted to General Directorate of Stability
9. September 2024,Egyptian Drug Authority,Guidance,Transfer / addition of the place of primary and secondary packaging
9. September 2024,Egyptian Drug Authority,Guidance,Endocrine part of the Egyptian drug registry manufacturing)
9. September 2024,Egyptian Drug Authority,Guidance,Role of Oncology Pharmacists in Radiation Therapy
9. September 2024,European Medicines Agency,Notice,Data Protection Notice for EudraVigilance Human (EV)
9. September 2024,European Medicines Agency,Standard Operating Procedure,"For assignment of micro-, small- or medium-sized-enterprise"
9. September 2024,European Medicines Agency,Guidance,AI in medicines regulation: use of large language models (LLMs)
9. September 2024,European Directorate for the Quality of Medicines & HealthCare,News,PDG announces global membership initiative
9. September 2024,European Directorate for the Quality of Medicines & HealthCare,Report,Certification Monthly Report August 2024
9. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Ionising Radiation (Medical Exposure) Regulations 2017
9. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Notify the MHRA about a clinical investigation for a medical device
9. September 2024,"MEDSAFE, New Zealand",Journal,Prescriber Update Vol. 45. No. 3 - September 2024
9. September 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Announcements,"Pediatric Chemical Food, Cough, and Asthma Preparations (No. 106)"
9. September 2024,Saudi Food & Drug Authority,Guidance,(GVP) Specific Considerations II: Pregnant and breastfeeding women
9. September 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,3 International Scientific Guidelines Adopted by TGA since 2. September 2024
9. September 2024,Swissmedic,Form,Mobile technologies – Submission of films
9. September 2024,Swissmedic,Guidance,Marketing / interruption of distribution for veterinary medicinal products
9. September 2024,Swissmedic,Guidance,Electronic data sets from pivotal bioequivalence studies
9. September 2024,Swissmedic,Guidance,Packaging texts for veterinary medicinal products
9. September 2024,Swissmedic,Guidance,SEND data sets for new authorisation human medicinal products with new API
9. September 2024,Swissmedic,Guidance,Combined Studies
9. September 2024,Swissmedic,Guidance,Accompanying documentation authorisation and variation for medicinal products
9. September 2024,Swissmedic,Guidance,Changes to the guidance document Time limits for authorisation applications
9. September 2024,Swissmedic,Guidance,Export Certificates
9. September 2024,Swissmedic,Journal,Swissmedic Journal August 2024
9. September 2024,National Institute of Standards and Technology (NIST),Blog,Cybersecurity Insights
9. September 2024,USA Food & Drug Administration FDA,Guidance,Bioresearch Monitoring Technical Conformance Guide
9. September 2024,USA Food & Drug Administration FDA,Guidance,Control of Nitrosamine Impurities in Human Drugs
9. September 2024,USA Food & Drug Administration FDA,News,Whole Genome Sequencing (WGS) Program
9. September 2024,USA Food & Drug Administration FDA,Guidance,Voluntary Patient Preference Information over the Total Product Life Cycle:
9. September 2024,World Health Organisation WHO,Guidance,WHO updates laboratory biosecurity guidance
2. September 2024,Egyptian Drug Authority,Guidance,Changes mentioned in the deadline letters not proven in the medical requirement
2. September 2024,Egyptian Drug Authority,Support,Technical support links for the Cosmetics Listing Platform EgyCosm
2. September 2024,European Medicines Agency,Guidance,ICH guideline E11A on pediatric extrapolation Step 5
2. September 2024,European Medicines Agency,Guidance,Compilation of union procedures on inspections and exchange of information
2. September 2024,"Health Sciences Authority (HSA), Singapore",Consultatiion,Guidance on Change Management Program (CMP) for SaMD
2. September 2024,International Council for Harmonisation,Guidance,The ICH E11A Guideline reaches Step 4 of the ICH Process
2. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Notify the MHRA about a clinical investigation for a medical device
2. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: apply for authorisation in the UK
2. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Quarterly Reports – guidance and template for manufacturers / sponsors
2. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Windsor Framework for Medicines comes into effect 1. January 2025
2. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Pharmacovigilance following agreement of the Windsor Framework
2. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,UK-wide licensing for human medicines
2. September 2024,Medicines and Healthcare products Regulatory Agency,Consultation,Consultation on the International Council for Harmonisation (ICH) M14
2. September 2024,Medicines and Healthcare products Regulatory Agency,Consultation,MHRA consultation on statutory fees
2. September 2024,Medicines and Healthcare products Regulatory Agency,Guidance,International Recognition Procedure
2. September 2024,"MEDSAFE, New Zealand",Consultation,Regulation of Therapeutic Products in New Zealand: Clinical Trials
2. September 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,International Scientific Guidelines Adopted by TGA from the EU
2. September 2024,"Therapeutic Goods Administration (TGA), Australia",Form,Submission of the Clinical Trial application CTA
2. September 2024,Swissmedic,Requirements,Responsible Person
2. September 2024,Swissmedic,Guidance,Electronic exchange of ICSRs in E2B(R3) format through B2B gateway
2. September 2024,Swissmedic,Guidance,Electronic exchange of ICSRs in E2B(R2) format through PV Gateway
2. September 2024,Swissmedic,Form,For application under Art. 13 TPA VMP
2. September 2024,Swissmedic,Form,Formular Gesuch Herstellerangaben Nichtstandardisierbare AM/TpP
2. September 2024,National Institute of Standards and Technology (NIST),Guidance,NIST Releases Second Public Draft of Digital Identity Guidelines for Final Review
2. September 2024,USA Food & Drug Administration FDA,Fees,Biosimilar User Fee Amendments
2. September 2024,USA Food & Drug Administration FDA,Guidance,MDR Enhancements
2. September 2024,USA Food & Drug Administration FDA,Reporting Program,Voluntary Malfunction Summary Reporting Program
2. September 2024,USA Food & Drug Administration FDA,Guidance,Voluntary Malfunction Summary Reporting (VMSR) Program for Manufacturers
2. September 2024,USA Food & Drug Administration FDA,Hub,OMHHE Enhance Equity Research Hub
2. September 2024,USA Food & Drug Administration FDA,Educational Materials,Multimedia Education Materials | Biosimilars
2. September 2024,USA Food & Drug Administration FDA,Webinar,"IVDs - MDR Requirements, Correction. Removal Reporting, & QMS Requirements"
26. August 2024,Egyptian Drug Authority,Guidance,Update on the Mechanisms for Submitting and Evaluating Stability Studies
26. August 2024,European Commission,Update,Notified Body Update MDR & IVDR
26. August 2024,European Commission,Consultation,Ammendment (EU) 2022/1107 Common specifications for class D IVD
26. August 2024,European Medicines Agency,Guidance,Plasma Master File (PMF) submissions
26. August 2024,European Medicines Agency,Guidance,Clinical Trial Information System Sponsor Handbook
26. August 2024,European Medicines Agency,Guidance,Good pharmacovigilance practices (GVP)
26. August 2024,ISO (International Organization for Standardization),Standard,"ISO Update July 1, 2024 to July 31, 2024"
26. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Apply for the early access to medicines scheme (EAMS)
26. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Good laboratory practice (GLP) for safety tests on chemicals
26. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,AI Airlock: the regulatory sandbox for AIaMD
26. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Exporting active UK substances for use in EEA and Northern Ireland
26. August 2024,Medical Device Authority Malaysia,Update,Medical Devices with Expired EC Certificates and Self Declared Class B IVD
26. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidelines,17. International Scientific Guidelines Adopted from the EU
26. August 2024,"Therapeutic Goods Administration (TGA), Australia",News,Sponsors and manufacturers reminded about upcoming financial deadlines
26. August 2024,"Therapeutic Goods Administration (TGA), Australia",News,Post-market review of spinal cord stimulator devices
26. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Essential Principles checklist
26. August 2024,Swissmedic,Information Sheet,3D printers medical devices
26. August 2024,USA Food & Drug Administration FDA,Fees,FY 2025 PDUFA Program Fee Invoices and Rates
26. August 2024,USA Food & Drug Administration FDA,Guidance,Product-Specific Guidance Meetings Between FDA and ANDA Applicants GDUFA
26. August 2024,USA Food & Drug Administration FDA,Guidance,Frequently Asked Questions Quality Management System Regulation
26. August 2024,USA Food & Drug Administration FDA,Guidance,Predetermined Change Control Plans or Medical Devices
26. August 2024,USA Food & Drug Administration FDA,Guidance,Acceptable Media for Electronic Product User Manuals
26. August 2024,USA Food & Drug Administration FDA,Guidance,FAQ CDER Center for Clinical Trial Innovation (C3TI)
26. August 2024,USA Food & Drug Administration FDA,Guidance,Electronic Submission Template for Medical Device De Novo Requests
26. August 2024,USA Food & Drug Administration FDA,Guidance,Title: FDA and Industry Procedures for Section 513(g) Requests for Information
26. August 2024,USA Food & Drug Administration FDA,Guidance,FDA Drug Recall Process Snapshot
26. August 2024,USA Food & Drug Administration FDA,Guidance,Product-Specific Guidances for Generic Drug Development
26. August 2024,USA Food & Drug Administration FDA,Guidance,Mammography Quality Standards Act & Regulation Amendments
26. August 2024,Association for the Advancement of Medical Instrumentation AAMI,Guidance,New Consensus on the Sterilization of Single-Use Systems for Manufacturing
26. August 2024,World Health Organisation WHO,Publication,"WHO Drug Information, Volume 38, Number 2, 2024"
26. August 2024,World Health Organisation WHO,Publication,WHO Expert Committee on Biological Standardization: seventy-ninth report
19. August 2024,CDSCO India,Guidance,Draft Guidelines on Good Distribution Practices for Pharmaceutical Products
